report_date,report_type,location,site,department,contractor,reporter_role,description,severity,planted_pattern
2026-06-23,UNSAFE_ACT,Site Delta,Site Alpha,Operations,Contractor-Northstar Industrial,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-07-31,UNSAFE_CONDITION,Site Delta,Site Echo,Logistics,Contractor-Northstar Industrial,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-05-31,NEAR_MISS,Site Foxtrot,Site Bravo,Drilling,Contractor-Delta Wellsite Services,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-07-25,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,Operations,Contractor-Pinnacle Contractors,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-08-13,NEAR_MISS,Site Echo,Site Echo,HSE,Contractor-Meridian Fabrication,Technician,Vehicle backed up without a spotter present near the loading bay.,MODERATE,vehicle_pedestrian
2026-07-10,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Logistics,Contractor-Beacon Electrical Works,Operator,Housekeeping issue noted in the tool storage area.,HIGH,
2026-05-21,UNSAFE_ACT,Site Charlie,Site Alpha,Pipeline Integrity,Contractor-Pinnacle Contractors,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-05-29,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Maintenance,Contractor-Redline Maintenance Group,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-06-03,UNSAFE_ACT,Site Bravo,Site Charlie,Logistics,Contractor-Northstar Industrial,Operator,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-07-13,NEAR_MISS,Site Echo,Site Bravo,Maintenance,Contractor-Beacon Electrical Works,Foreman,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-08-23,UNSAFE_CONDITION,Site Alpha,Site Foxtrot,HSE,Contractor-Northstar Industrial,Operator,Vehicle backed up without a spotter present near the loading bay.,LOW,vehicle_pedestrian
2026-07-20,NEAR_MISS,Site Bravo,Site Delta,Logistics,Contractor-Atlas Mechanical,Site Supervisor,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-07-22,UNSAFE_ACT,Site Foxtrot,Site Delta,HSE,Contractor-Ironclad Scaffolding,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-06-07,NEAR_MISS,Site Foxtrot,Site Foxtrot,Pipeline Integrity,Contractor-Meridian Fabrication,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-06-12,UNSAFE_ACT,Site Delta,Site Alpha,Drilling,Contractor-Beacon Electrical Works,Operator,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-03,UNSAFE_CONDITION,Site Charlie,Site Delta,HSE,Contractor-Coastal Logistics,Foreman,Housekeeping issue noted in the tool storage area.,LOW,
2026-03-20,UNSAFE_ACT,Site Charlie,Site Charlie,Operations,Contractor-Pinnacle Contractors,Foreman,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-05-18,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Logistics,Contractor-Vantage Energy Services,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-10,UNSAFE_ACT,Site Alpha,Site Foxtrot,Pipeline Integrity,Contractor-Vantage Energy Services,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-07-26,NEAR_MISS,Site Foxtrot,Site Alpha,Operations,Contractor-Orion Field Services,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-05-25,UNSAFE_ACT,Site Alpha,Site Charlie,HSE,Contractor-Beacon Electrical Works,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-10,UNSAFE_ACT,Site Foxtrot,Site Foxtrot,Pipeline Integrity,Contractor-Summit Rigging Co,Technician,Water leakage from a faucet reported in the site canteen.,LOW,
2026-07-23,UNSAFE_ACT,Site Delta,Site Foxtrot,Maintenance,Contractor-Northstar Industrial,Operator,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-08-10,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,HSE,Contractor-Delta Wellsite Services,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-05-30,NEAR_MISS,Site Echo,Site Echo,Pipeline Integrity,Contractor-Summit Rigging Co,Technician,Housekeeping issue noted in the tool storage area.,HIGH,
2026-07-27,UNSAFE_ACT,Site Foxtrot,Site Echo,Maintenance,Contractor-Delta Wellsite Services,Operator,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-06-15,UNSAFE_CONDITION,Site Bravo,Site Delta,Operations,Contractor-Pinnacle Contractors,Foreman,Housekeeping issue noted in the tool storage area.,LOW,
2026-05-12,UNSAFE_ACT,Site Delta,Site Bravo,Maintenance,Contractor-Ironclad Scaffolding,Foreman,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-06-24,NEAR_MISS,Site Echo,Site Bravo,HSE,Contractor-Beacon Electrical Works,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-18,NEAR_MISS,Site Delta,Site Bravo,Maintenance,Contractor-Vantage Energy Services,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-02-28,NEAR_MISS,Site Foxtrot,Site Bravo,Pipeline Integrity,Contractor-Orion Field Services,Foreman,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-03-27,UNSAFE_ACT,Site Delta,Site Echo,Operations,Contractor-Coastal Logistics,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-06-13,UNSAFE_CONDITION,Site Echo,Site Alpha,HSE,Contractor-Ironclad Scaffolding,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-03-05,NEAR_MISS,Site Delta,Site Delta,Drilling,Contractor-Meridian Fabrication,Safety Officer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-08-13,UNSAFE_CONDITION,Site Delta,Site Echo,Pipeline Integrity,Contractor-Orion Field Services,Site Supervisor,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-07-23,NEAR_MISS,Site Alpha,Site Alpha,Drilling,Contractor-Beacon Electrical Works,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-08-08,UNSAFE_ACT,Site Charlie,Site Foxtrot,Logistics,Contractor-Beacon Electrical Works,Engineer,Technician climbed to elevated work area without anchor point confirmed.,HIGH,working_at_height
2026-07-28,UNSAFE_ACT,Site Charlie,Site Bravo,Maintenance,Contractor-Coastal Logistics,Engineer,Isolation tag was removed before work was actually complete.,HIGH,electrical_isolation
2026-05-14,UNSAFE_CONDITION,Site Bravo,Site Alpha,Operations,Contractor-Coastal Logistics,Technician,Maintenance was carried out without confirming equipment isolation on the panel.,LOW,electrical_isolation
2026-02-26,UNSAFE_ACT,Site Bravo,Site Foxtrot,Maintenance,Contractor-Beacon Electrical Works,Operator,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-06-20,NEAR_MISS,Site Bravo,Site Delta,Operations,Contractor-Delta Wellsite Services,Technician,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-08-21,UNSAFE_ACT,Site Echo,Site Foxtrot,Drilling,Contractor-Summit Rigging Co,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-06-23,NEAR_MISS,Site Foxtrot,Site Charlie,Operations,Contractor-Pinnacle Contractors,Foreman,Housekeeping issue noted in the tool storage area.,LOW,
2026-08-21,UNSAFE_CONDITION,Site Delta,Site Delta,Drilling,Contractor-Pinnacle Contractors,Engineer,Gas testing was not conducted before confined space entry into the tank.,HIGH,confined_space
2026-08-07,UNSAFE_CONDITION,Site Delta,Site Charlie,HSE,Contractor-Coastal Logistics,Technician,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-03-10,NEAR_MISS,Site Foxtrot,Site Echo,Drilling,Contractor-Coastal Logistics,Technician,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-08-05,UNSAFE_ACT,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Northstar Industrial,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-08-09,UNSAFE_ACT,Site Charlie,Site Charlie,Pipeline Integrity,Contractor-Redline Maintenance Group,Foreman,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-06-09,UNSAFE_ACT,Site Alpha,Site Charlie,Maintenance,Contractor-Orion Field Services,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-18,NEAR_MISS,Site Foxtrot,Site Delta,Drilling,Contractor-Vantage Energy Services,Technician,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-07-09,UNSAFE_CONDITION,Site Charlie,Site Bravo,Pipeline Integrity,Contractor-Northstar Industrial,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-05-25,UNSAFE_CONDITION,Site Delta,Site Delta,Maintenance,Contractor-Redline Maintenance Group,Technician,First aid kit in the workshop was missing a few items.,MODERATE,
2026-05-06,NEAR_MISS,Site Bravo,Site Foxtrot,Operations,Contractor-Ironclad Scaffolding,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-06-06,UNSAFE_ACT,Site Bravo,Site Delta,Logistics,Contractor-Ironclad Scaffolding,Operator,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-07-25,NEAR_MISS,Site Foxtrot,Site Delta,Drilling,Contractor-Beacon Electrical Works,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-08-17,NEAR_MISS,Site Echo,Site Alpha,Drilling,Contractor-Meridian Fabrication,Technician,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-06-05,UNSAFE_CONDITION,Site Charlie,Site Echo,HSE,Contractor-Atlas Mechanical,Safety Officer,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-04-05,UNSAFE_CONDITION,Site Bravo,Site Charlie,Logistics,Contractor-Delta Wellsite Services,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-04-13,NEAR_MISS,Site Charlie,Site Alpha,Operations,Contractor-Beacon Electrical Works,Foreman,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-05-06,UNSAFE_ACT,Site Bravo,Site Echo,Pipeline Integrity,Contractor-Meridian Fabrication,Operator,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-07-19,UNSAFE_CONDITION,Site Bravo,Site Alpha,Maintenance,Contractor-Atlas Mechanical,Operator,Standby attendant was absent during confined space entry at the separator.,LOW,confined_space
2026-05-22,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Drilling,Contractor-Northstar Industrial,Safety Officer,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-06-01,UNSAFE_CONDITION,Site Charlie,Site Echo,Maintenance,Contractor-Atlas Mechanical,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-07-27,UNSAFE_ACT,Site Alpha,Site Alpha,Operations,Contractor-Pinnacle Contractors,Engineer,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-06-28,UNSAFE_ACT,Site Bravo,Site Echo,Drilling,Contractor-Meridian Fabrication,Technician,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-08-10,NEAR_MISS,Site Foxtrot,Site Foxtrot,Logistics,Contractor-Ironclad Scaffolding,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-04-17,UNSAFE_ACT,Site Delta,Site Charlie,Logistics,Contractor-Vantage Energy Services,Engineer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-05-28,NEAR_MISS,Site Foxtrot,Site Bravo,Maintenance,Contractor-Pinnacle Contractors,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-02-27,NEAR_MISS,Site Bravo,Site Charlie,Logistics,Contractor-Orion Field Services,Technician,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-03-12,UNSAFE_ACT,Site Alpha,Site Bravo,HSE,Contractor-Redline Maintenance Group,Technician,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-08-24,UNSAFE_ACT,Site Bravo,Site Delta,Logistics,Contractor-Beacon Electrical Works,Technician,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-06-15,UNSAFE_ACT,Site Echo,Site Bravo,Drilling,Contractor-Redline Maintenance Group,Engineer,Housekeeping issue noted in the tool storage area.,LOW,
2026-07-08,UNSAFE_ACT,Site Foxtrot,Site Alpha,HSE,Contractor-Redline Maintenance Group,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-05,UNSAFE_CONDITION,Site Bravo,Site Alpha,Drilling,Contractor-Orion Field Services,Technician,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-08-08,UNSAFE_CONDITION,Site Delta,Site Charlie,Operations,Contractor-Redline Maintenance Group,Site Supervisor,Worker crossed the vehicle movement zone without using the designated walkway.,HIGH,vehicle_pedestrian
2026-05-09,NEAR_MISS,Site Delta,Site Bravo,Logistics,Contractor-Coastal Logistics,Technician,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-08-22,UNSAFE_CONDITION,Site Echo,Site Alpha,HSE,Contractor-Delta Wellsite Services,Operator,Pedestrian and forklift nearly collided in a blind spot near the warehouse.,MODERATE,vehicle_pedestrian
2026-04-06,UNSAFE_ACT,Site Alpha,Site Foxtrot,Drilling,Contractor-Orion Field Services,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-07-06,NEAR_MISS,Site Alpha,Site Delta,Maintenance,Contractor-Meridian Fabrication,Site Supervisor,Standby attendant was absent during confined space entry at the separator.,HIGH,confined_space
2026-04-21,UNSAFE_CONDITION,Site Charlie,Site Charlie,Drilling,Contractor-Delta Wellsite Services,Foreman,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-06-13,UNSAFE_CONDITION,Site Bravo,Site Delta,HSE,Contractor-Pinnacle Contractors,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-05-05,UNSAFE_ACT,Site Bravo,Site Foxtrot,Logistics,Contractor-Atlas Mechanical,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-08-23,NEAR_MISS,Site Foxtrot,Site Bravo,Pipeline Integrity,Contractor-Summit Rigging Co,Engineer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-06-30,UNSAFE_ACT,Site Echo,Site Alpha,Logistics,Contractor-Meridian Fabrication,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-08-11,UNSAFE_CONDITION,Site Bravo,Site Echo,Pipeline Integrity,Contractor-Ironclad Scaffolding,Foreman,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-08-03,NEAR_MISS,Site Foxtrot,Site Echo,Drilling,Contractor-Beacon Electrical Works,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-07-06,UNSAFE_CONDITION,Site Echo,Site Foxtrot,HSE,Contractor-Orion Field Services,Technician,Missing barricade at an open edge on the tank platform.,HIGH,working_at_height
2026-08-18,UNSAFE_CONDITION,Site Charlie,Site Bravo,Logistics,Contractor-Atlas Mechanical,Technician,Unsecured harness was noted during rooftop inspection.,LOW,working_at_height
2026-03-31,UNSAFE_ACT,Site Charlie,Site Bravo,Logistics,Contractor-Vantage Energy Services,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-03-19,UNSAFE_ACT,Site Charlie,Site Delta,Maintenance,Contractor-Meridian Fabrication,Foreman,First aid kit in the workshop was missing a few items.,LOW,
2026-08-02,NEAR_MISS,Site Foxtrot,Site Charlie,Logistics,Contractor-Pinnacle Contractors,Foreman,Electrical panel remained live during scheduled inspection.,LOW,electrical_isolation
2026-07-04,UNSAFE_CONDITION,Site Bravo,Site Bravo,Drilling,Contractor-Atlas Mechanical,Safety Officer,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-06-23,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,HSE,Contractor-Pinnacle Contractors,Operator,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-06-09,UNSAFE_CONDITION,Site Echo,Site Charlie,Maintenance,Contractor-Coastal Logistics,Operator,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-05-24,UNSAFE_ACT,Site Delta,Site Alpha,Logistics,Contractor-Delta Wellsite Services,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-06-16,UNSAFE_CONDITION,Site Alpha,Site Echo,HSE,Contractor-Summit Rigging Co,Foreman,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-08-09,UNSAFE_ACT,Site Delta,Site Charlie,HSE,Contractor-Pinnacle Contractors,Operator,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-04-03,NEAR_MISS,Site Alpha,Site Foxtrot,HSE,Contractor-Pinnacle Contractors,Safety Officer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-07-31,NEAR_MISS,Site Alpha,Site Foxtrot,HSE,Contractor-Delta Wellsite Services,Engineer,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-04-07,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Logistics,Contractor-Meridian Fabrication,Foreman,First aid kit in the workshop was missing a few items.,HIGH,
2026-05-07,UNSAFE_ACT,Site Bravo,Site Alpha,Logistics,Contractor-Northstar Industrial,Engineer,Technician entered energized pump area before electrical isolation was verified.,LOW,electrical_isolation
2026-08-21,NEAR_MISS,Site Bravo,Site Charlie,Maintenance,Contractor-Atlas Mechanical,Site Supervisor,Water leakage from a faucet reported in the site canteen.,LOW,
2026-03-11,NEAR_MISS,Site Charlie,Site Foxtrot,Logistics,Contractor-Vantage Energy Services,Site Supervisor,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-05-22,NEAR_MISS,Site Alpha,Site Alpha,Operations,Contractor-Ironclad Scaffolding,Site Supervisor,"Minor vehicle scratch reported during routine parking maneuver, no injury.",HIGH,
2026-08-17,NEAR_MISS,Site Echo,Site Echo,Logistics,Contractor-Pinnacle Contractors,Foreman,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-04-04,NEAR_MISS,Site Echo,Site Charlie,Operations,Contractor-Pinnacle Contractors,Foreman,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-03-31,NEAR_MISS,Site Foxtrot,Site Charlie,Operations,Contractor-Atlas Mechanical,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-04-11,UNSAFE_ACT,Site Echo,Site Foxtrot,Operations,Contractor-Coastal Logistics,Foreman,Water leakage from a faucet reported in the site canteen.,LOW,
2026-06-23,UNSAFE_ACT,Site Delta,Site Alpha,HSE,Contractor-Coastal Logistics,Safety Officer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-04-30,UNSAFE_ACT,Site Alpha,Site Delta,Operations,Contractor-Atlas Mechanical,Technician,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-08-13,UNSAFE_CONDITION,Site Bravo,Site Bravo,Logistics,Contractor-Orion Field Services,Technician,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-08-08,NEAR_MISS,Site Charlie,Site Delta,HSE,Contractor-Ironclad Scaffolding,Technician,Pedestrian and forklift nearly collided in a blind spot near the warehouse.,LOW,vehicle_pedestrian
2026-06-26,UNSAFE_CONDITION,Site Alpha,Site Charlie,Logistics,Contractor-Coastal Logistics,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-07-21,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,HSE,Contractor-Meridian Fabrication,Technician,First aid kit in the workshop was missing a few items.,HIGH,
2026-08-07,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Pipeline Integrity,Contractor-Northstar Industrial,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-08-13,UNSAFE_ACT,Site Charlie,Site Delta,Logistics,Contractor-Pinnacle Contractors,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-03-07,UNSAFE_ACT,Site Echo,Site Delta,Operations,Contractor-Ironclad Scaffolding,Safety Officer,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-03-13,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Maintenance,Contractor-Redline Maintenance Group,Safety Officer,Waste segregation bins were not properly labeled at the site office.,MODERATE,
2026-07-03,UNSAFE_CONDITION,Site Foxtrot,Site Charlie,Drilling,Contractor-Beacon Electrical Works,Safety Officer,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-07-28,UNSAFE_ACT,Site Delta,Site Foxtrot,Logistics,Contractor-Northstar Industrial,Foreman,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-06-26,UNSAFE_CONDITION,Site Echo,Site Charlie,HSE,Contractor-Ironclad Scaffolding,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-06-26,UNSAFE_ACT,Site Bravo,Site Bravo,Operations,Contractor-Vantage Energy Services,Technician,Fall protection was not used while inspecting the flare stack platform.,LOW,working_at_height
2026-06-09,UNSAFE_ACT,Site Bravo,Site Bravo,HSE,Contractor-Northstar Industrial,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-06-14,NEAR_MISS,Site Alpha,Site Foxtrot,Drilling,Contractor-Orion Field Services,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-06-26,UNSAFE_CONDITION,Site Delta,Site Alpha,Operations,Contractor-Redline Maintenance Group,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-06-27,UNSAFE_ACT,Site Charlie,Site Charlie,Operations,Contractor-Vantage Energy Services,Engineer,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-03-28,UNSAFE_ACT,Site Bravo,Site Charlie,Operations,Contractor-Coastal Logistics,Technician,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-04-13,UNSAFE_CONDITION,Site Delta,Site Echo,Maintenance,Contractor-Meridian Fabrication,Safety Officer,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-03-03,UNSAFE_CONDITION,Site Echo,Site Foxtrot,Drilling,Contractor-Vantage Energy Services,Operator,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-05-22,NEAR_MISS,Site Foxtrot,Site Delta,Logistics,Contractor-Northstar Industrial,Safety Officer,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-06-20,UNSAFE_ACT,Site Echo,Site Foxtrot,Logistics,Contractor-Delta Wellsite Services,Foreman,Housekeeping issue noted in the tool storage area.,HIGH,
2026-04-01,UNSAFE_CONDITION,Site Alpha,Site Echo,Logistics,Contractor-Ironclad Scaffolding,Safety Officer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-08-24,UNSAFE_CONDITION,Site Charlie,Site Bravo,Operations,Contractor-Coastal Logistics,Site Supervisor,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-06-11,UNSAFE_CONDITION,Site Bravo,Site Delta,HSE,Contractor-Beacon Electrical Works,Engineer,Worker was seen without fall protection while cleaning the tank roof.,HIGH,working_at_height
2026-03-25,NEAR_MISS,Site Charlie,Site Echo,Pipeline Integrity,Contractor-Beacon Electrical Works,Foreman,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-08-25,NEAR_MISS,Site Delta,Site Foxtrot,HSE,Contractor-Atlas Mechanical,Technician,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-04-07,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Operations,Contractor-Orion Field Services,Engineer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-03-20,UNSAFE_CONDITION,Site Bravo,Site Foxtrot,Operations,Contractor-Vantage Energy Services,Foreman,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-03-15,NEAR_MISS,Site Alpha,Site Delta,Operations,Contractor-Summit Rigging Co,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-06-09,UNSAFE_ACT,Site Alpha,Site Bravo,Pipeline Integrity,Contractor-Pinnacle Contractors,Foreman,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-03-21,UNSAFE_CONDITION,Site Charlie,Site Delta,Operations,Contractor-Redline Maintenance Group,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-06-13,NEAR_MISS,Site Foxtrot,Site Alpha,Pipeline Integrity,Contractor-Beacon Electrical Works,Operator,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-03-18,UNSAFE_CONDITION,Site Bravo,Site Delta,Maintenance,Contractor-Ironclad Scaffolding,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-04-04,UNSAFE_ACT,Site Foxtrot,Site Charlie,HSE,Contractor-Northstar Industrial,Site Supervisor,First aid kit in the workshop was missing a few items.,MODERATE,
2026-08-24,NEAR_MISS,Site Charlie,Site Foxtrot,Logistics,Contractor-Coastal Logistics,Site Supervisor,Electrical isolation point was not physically verified with a multimeter.,LOW,electrical_isolation
2026-03-15,UNSAFE_CONDITION,Site Charlie,Site Alpha,Pipeline Integrity,Contractor-Vantage Energy Services,Safety Officer,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-05-12,UNSAFE_CONDITION,Site Alpha,Site Alpha,Drilling,Contractor-Pinnacle Contractors,Safety Officer,Housekeeping issue noted in the tool storage area.,LOW,
2026-04-03,NEAR_MISS,Site Charlie,Site Delta,Drilling,Contractor-Meridian Fabrication,Technician,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-04-30,NEAR_MISS,Site Bravo,Site Foxtrot,Drilling,Contractor-Atlas Mechanical,Site Supervisor,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-06-05,NEAR_MISS,Site Charlie,Site Delta,Operations,Contractor-Summit Rigging Co,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-04-24,UNSAFE_CONDITION,Site Charlie,Site Echo,HSE,Contractor-Redline Maintenance Group,Foreman,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-04-27,UNSAFE_ACT,Site Alpha,Site Echo,Maintenance,Contractor-Vantage Energy Services,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-05-26,UNSAFE_ACT,Site Charlie,Site Charlie,Logistics,Contractor-Pinnacle Contractors,Technician,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-05-20,NEAR_MISS,Site Charlie,Site Foxtrot,Pipeline Integrity,Contractor-Beacon Electrical Works,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-06,UNSAFE_CONDITION,Site Foxtrot,Site Foxtrot,Pipeline Integrity,Contractor-Northstar Industrial,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-05-13,UNSAFE_ACT,Site Bravo,Site Echo,Drilling,Contractor-Pinnacle Contractors,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-07-01,NEAR_MISS,Site Alpha,Site Alpha,Pipeline Integrity,Contractor-Summit Rigging Co,Engineer,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-06-30,NEAR_MISS,Site Foxtrot,Site Bravo,Operations,Contractor-Northstar Industrial,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
